ID,Loại,"Mã sản phẩm",Tên,"Đã đăng","Nhãn nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giảm giá","Ngày kết thúc giảm giá","Trạng thái thuế","Lớp thuế","Còn hàng?",Kho,"Số lượng tồn kho ít","Cho phép đặt trước?","Bán riêng?","Cân nặng (kg)","Độ dài (cm)","Độ rộng (cm)","Chiều cao (cm)","Cho phép đánh giá của khách hàng?","Ghi chú thanh toán","Giá khuyến mãi","Giá bán thường","Danh mục","Từ khóa","Lớp giao hàng","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải về",Gốc,"Các sản phẩm theo nhóm",Upsells,"Bán chéo","URL ngoài","Nội dung nút bấm","Vị trí","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính toàn cục  1","Tên thuộc tính 2","Giá trị thuộc tính 2","Thuộc tính hiển thị 2","Thuộc tính toàn cục  2","Tên thuộc tính 3","Giá trị thuộc tính 3","Thuộc tính hiển thị 3","Thuộc tính toàn cục  3","Tên thuộc tính 4","Giá trị thuộc tính 4","Thuộc tính hiển thị 4","Thuộc tính toàn cục  4","Tên thuộc tính 5","Giá trị thuộc tính 5","Thuộc tính hiển thị 5","Thuộc tính toàn cục  5","Meta: _last_editor_used_jetpack","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes","Meta: _yoast_wpseo_wordproof_timestamp","Attribute 1 type","Attribute 1 swatch(s)","Attribute 2 type","Attribute 2 swatch(s)","Attribute 3 type","Attribute 3 swatch(s)","Attribute 4 type","Attribute 4 swatch(s)","Attribute 5 type","Attribute 5 swatch(s)"
2231,variable,,"Chuck Taylor All Star Wide High Top",1,1,visible,,"<div id=""target"" class=""pdp_description"">\n\nConverse Chuck Taylor All Star là đôi giày đã khởi đầu cho thương hiệu Converse. Khi nói đến giày thể thao, không có gì thuần khiết hơn một phần trên bằng vải canvas và đế cao su vulcanized. Đây là đôi giày đã tạo ra vô số bản sao, với đầu giày cao su, miếng bảo vệ ngón chân và sọc kẻ. Hiện nay có phiên bản rộng hơn.\n\n<span style=""font-size: 14pt;""><strong>TẠI SAO BẠN NÊN CHỌN CHIẾC GIÀY NÀY:</strong></span>\n<ul>\n 	<li>Phần trên bằng vải canvas giúp giày nhẹ và dễ uốn cong</li>\n 	<li>Đế cao su đảm bảo độ bám và bền chặt</li>\n 	<li>Các lỗ thông gió bên trong giày tạo sự thoáng khí</li>\n 	<li>Phiên bản rộng hơn để vừa vặn hơn với chân của bạn.</li>\n</ul>\n</div>",,,taxable,,1,50,,0,0,,,,,1,,,,Women,,,"http://converse.azdigi.shop/wp-content/uploads/2023/05/m7650_a_107x1_1_2-2.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m7650_e_107x1_1_2.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m7650_b_107x1_1_2.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m7650_d_107x1_1_2.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m3310c_c.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m3310c_d.jpg",,,,,,,,,0,"Màu sắc","Black Monochrome, White/White/White",1,1,"Loại giày","High Tops",0,1,"Màu chủ đạo","Black, White",0,1,Giá,"Từ CA$50.00 - CA$100.00",0,1,"Kích cỡ","M 3 / W 5 (Wide), M 3.5 / W 5.5 (Wide), M 4 / W 6 (Wide)",1,1,classic-editor,59,90,1,,image,"http://converse.azdigi.shop/wp-content/uploads/2023/05/m3310c_a_1.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m7650_a_107x1_1_2-2.jpg",label,,color,"#000000, #f0f0f1",radio,,label,", , "
2235,variation,171748C,"Chuck Taylor All Star Wide High Top - Black Monochrome",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,80.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/m3310c_a_1.jpg,,,id:2231,,,,,,1,"Màu sắc","Black Monochrome",,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,variation,,"Chuck Taylor All Star Wide High Top - White/White/White",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,80.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/m7650_a_107x1_1_2-2.jpg,,,id:2231,,,,,,2,"Màu sắc",White/White/White,,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248,variable,,"Chuck Taylor All Star Wide Low Top",1,1,visible,,"Giày Converse Chuck Taylor All Star là mẫu sản phẩm giày đầu tiên của Converse. Khi nói đến giày sneakers, không có gì tinh khiết hơn một mẫu giày có phần trên bằng vải canvas và đế cao su vulcanized. Đây là mẫu giày đã tạo ra hàng loạt sản phẩm giả mạo, với đầu giày cao su, miếng đệm và viền. Hiện nay, mẫu giày này đã có phiên bản rộng hơn.\n\n<span style=""font-size: 14pt;""><strong>Vì sao bạn nên sở hữu đôi giày này:</strong></span>\n<ul>\n 	<li>Phần trên bằng vải canvas đem lại cảm giác nhẹ và linh hoạt cho đôi chân</li>\n 	<li>Đế cao su giúp đôi giày bền và bám đất tốt</li>\n 	<li>Lỗ thông hơi ở phía trong giày giúp đôi chân thoáng mát</li>\n 	<li>Hiện nay đã có phiên bản rộng hơn để phù hợp với nhiều kích cỡ chân khác nhau.</li>\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Women,,,"http://converse.azdigi.shop/wp-content/uploads/2023/05/m7652_a_107x1_1_2-1.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m7652_d_107x1_1_2.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m9166_d_107x1_1_2.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m9166_g_107x1_1_2.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m7652_b_107x1_1_2.jpg",,,,,,,,,0,"Màu sắc","Black Low, Optical White",1,1,"Loại giày","Low Tops",0,1,"Màu chủ đạo","Black, White",0,1,Giá,"Từ CA$50.00 - CA$100.00",0,1,"Kích cỡ","M 3 / W 5, M 3.5 / W 5.5, M 4 / W 6, M 5 / W 7",1,1,classic-editor,59,90,1,,image,"http://converse.azdigi.shop/wp-content/uploads/2023/05/m9166_a_107x1_1_2.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m7652_a_107x1_1_2-1.jpg",label,,color,"#000000, #f0f0f1",radio,,label,", , , "
2264,variation,167493C,"Chuck Taylor All Star Wide Low Top - Black Low",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/m9166_a_107x1_1_2.jpg,,,id:2248,,,,,,1,"Màu sắc","Black Low",,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2271,variation,167494C,"Chuck Taylor All Star Wide Low Top - Optical White",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/m7652_a_107x1_1_2-1.jpg,,,id:2248,,,,,,2,"Màu sắc","Optical White",,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275,variable,171749C,"Chuck Taylor All Star Wide Low Top - Black Monochrome",1,1,visible,,"<div id=""target"" class=""pdp_description"">\n\nConverse Chuck Taylor All Star là đôi giày đã khởi đầu cho Converse. Khi nói về giày sneaker, không có gì thuần khiết hơn một mặt trên bằng vải canvas và đế cao su vulcanized. Đây là đôi giày đã tạo ra vô số bản nhái, với đầu giày bằng cao su, bảo vệ đầu ngón chân và dải kẻ. Hiện đã có kích cỡ rộng hơn.\n\n<span style=""font-size: 14pt;"">TẠI SAO BẠN NÊN SỞ HỮU ĐÔI GIÀY NÀY</span>\n<ul>\n 	<li>Mặt trên bằng vải canvas cho cảm giác nhẹ nhàng và linh hoạt</li>\n 	<li>Đế cao su cho độ bám và độ bền cao</li>\n 	<li>Điểm nhấn bên trong giày tăng khả năng thông gió</li>\n 	<li>Hiện đã có kích cỡ rộng hơn</li>\n</ul>\n</div>",,,taxable,,1,50,,0,0,,,,,1,,,,Women,,,"http://converse.azdigi.shop/wp-content/uploads/2023/05/m5039c_a_1.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m5039c_b.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m5039c_c.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m5039c_d.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m5039c_e.jpg",,,,,,,,,0,"Màu sắc","Black Monochrome Low",1,1,"Loại giày","Low Tops",0,1,"Màu chủ đạo",Black,0,1,Giá,"Từ CA$50.00 - CA$100.00",0,1,"Kích cỡ","M 11.5 / W 13.5, M 13 / W 15, M 3 / W 5 (Wide), M 3.5 / W 5.5 (Wide), M 4 / W 6 (Wide), M 5 / W 7",1,1,,59,90,1,,image,http://converse.azdigi.shop/wp-content/uploads/2023/05/m5039c_a_1.jpg,label,,color,#000000,radio,,label,", , , , , "
2300,variation,,"Chuck Taylor All Star Wide Low Top - Black Monochrome - Black Monochrome Low, M 11.5 / W 13.5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,171749C,,,,,,1,"Màu sắc","Black Monochrome Low",,1,"Kích cỡ","M 11.5 / W 13.5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,variation,,"Chuck Taylor All Star Wide Low Top - Black Monochrome - Black Monochrome Low, M 13 / W 15",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,171749C,,,,,,2,"Màu sắc","Black Monochrome Low",,1,"Kích cỡ","M 13 / W 15",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,variation,,"Chuck Taylor All Star Wide Low Top - Black Monochrome - Black Monochrome Low, M 3 / W 5 (Wide)",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,171749C,,,,,,3,"Màu sắc","Black Monochrome Low",,1,"Kích cỡ","M 3 / W 5 (Wide)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,variation,,"Chuck Taylor All Star Wide Low Top - Black Monochrome - Black Monochrome Low, M 3.5 / W 5.5 (Wide)",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,171749C,,,,,,4,"Màu sắc","Black Monochrome Low",,1,"Kích cỡ","M 3.5 / W 5.5 (Wide)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,variation,,"Chuck Taylor All Star Wide Low Top - Black Monochrome - Black Monochrome Low, M 4 / W 6 (Wide)",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,171749C,,,,,,5,"Màu sắc","Black Monochrome Low",,1,"Kích cỡ","M 4 / W 6 (Wide)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,variation,,"Chuck Taylor All Star Wide Low Top - Black Monochrome - Black Monochrome Low, M 5 / W 7",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,171749C,,,,,,6,"Màu sắc","Black Monochrome Low",,1,"Kích cỡ","M 5 / W 7",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309,variable,,"Chuck Taylor All Star High Top",1,1,visible,,"Converse Chuck Taylor All Star là đôi giày đã khởi đầu cho Converse. Khi nói đến giày sneaker, không có gì thuần khiết hơn một mặt trên bằng vải canvas và đế cao su vulcanized. Đây là đôi giày đã tạo ra vô số bản nhái, với đầu giày bằng cao su, bảo vệ đầu ngón chân và dải kẻ, cùng với miếng dán với dấu sao nổi bật.\n\n<span style=""font-size: 14pt;"">TẠI SAO BẠN NÊN SỞ HỮU ĐÔI GIÀY NÀ</span>Y\n<ul>\n 	<li>Mặt trên bằng vải canvas cho cảm giác nhẹ nhàng và linh hoạt</li>\n 	<li>Đế cao su cho độ bám và độ bền cao</li>\n 	<li>Điểm nhấn bên trong giày tăng khả năng thông gió</li>\n</ul>\nNGUỒN GỐC CHUCK TAYLOR ALL STAR\n\nĐược tạo ra vào năm 1917 như một đôi giày bóng rổ không trơn trượt, All Star ban đầuđược quảng cáo vì hiệu suất tuyệt vời trên sân bóng rổ bởi nhà tư duy bóng rổ Chuck Taylor. Nhưng qua nhiều thập kỷ, một điều đáng kinh ngạc đã xảy ra: đôi giày sneaker này, với hình dáng cổ điển và miếng dán mắt cá chân đặc trưng, đã được những người phiêu lưu, nghệ sĩ, nhạc sĩ, những người mơ mộng, những nhà tư duy và những người độc đáo tự nhiên sử dụng.",,,taxable,,1,,,0,0,,,,,1,,,,Women,,,"http://converse.azdigi.shop/wp-content/uploads/2023/05/159484f_a_107x1_1_2nd-1.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/159484c_101_d_prem_2_2nd.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/159484c_101_e_prem_2_2nd.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_shot6_1_2nd.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_shot4_1_2nd.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_shot1_1_2nd.jpg",,,,,,,,,0,"Màu sắc","Charcoal, Natural Ivory",1,1,"Loại giày","High Tops",0,1,"Màu chủ đạo","Brown, Cream",0,1,Giá,"Từ CA$50.00 - CA$100.00",0,1,"Kích cỡ","M 3 / W 5, M 3.5 / W 5.5, M 4 / W 6, M 4.5 / W 6.5, M 5 / W 7, M 5.5 / W 7.5, M 6 / W 8, M 7 / W 9, M 7.5 / W 9.5, M 8 / W 10",1,1,,59,60,2,,image,"http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/159484f_a_107x1_1_2nd-1.jpg",label,,color,"#604f45, #fffdd0",radio,,label,", , , , , , , , , "
2316,variation,,"Chuck Taylor All Star High Top - Charcoal, M 3 / W 5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg,,,id:2309,,,,,,1,"Màu sắc",Charcoal,,1,"Kích cỡ","M 3 / W 5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,variation,,"Chuck Taylor All Star High Top - Charcoal, M 3.5 / W 5.5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg,,,id:2309,,,,,,2,"Màu sắc",Charcoal,,1,"Kích cỡ","M 3.5 / W 5.5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2318,variation,,"Chuck Taylor All Star High Top - Charcoal, M 4 / W 6",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg,,,id:2309,,,,,,3,"Màu sắc",Charcoal,,1,"Kích cỡ","M 4 / W 6",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2319,variation,,"Chuck Taylor All Star High Top - Charcoal, M 4.5 / W 6.5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg,,,id:2309,,,,,,4,"Màu sắc",Charcoal,,1,"Kích cỡ","M 4.5 / W 6.5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320,variation,,"Chuck Taylor All Star High Top - Charcoal, M 5 / W 7",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg,,,id:2309,,,,,,5,"Màu sắc",Charcoal,,1,"Kích cỡ","M 5 / W 7",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,variation,,"Chuck Taylor All Star High Top - Charcoal, M 5.5 / W 7.5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg,,,id:2309,,,,,,6,"Màu sắc",Charcoal,,1,"Kích cỡ","M 5.5 / W 7.5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2322,variation,,"Chuck Taylor All Star High Top - Charcoal, M 6 / W 8",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg,,,id:2309,,,,,,7,"Màu sắc",Charcoal,,1,"Kích cỡ","M 6 / W 8",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2323,variation,,"Chuck Taylor All Star High Top - Charcoal, M 7 / W 9",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg,,,id:2309,,,,,,8,"Màu sắc",Charcoal,,1,"Kích cỡ","M 7 / W 9",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324,variation,,"Chuck Taylor All Star High Top - Charcoal, M 7.5 / W 9.5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg,,,id:2309,,,,,,9,"Màu sắc",Charcoal,,1,"Kích cỡ","M 7.5 / W 9.5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,variation,,"Chuck Taylor All Star High Top - Charcoal, M 8 / W 10",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,http://converse.azdigi.shop/wp-content/uploads/2023/05/1j793_standard_1_2nd.jpg,,,id:2309,,,,,,10,"Màu sắc",Charcoal,,1,"Kích cỡ","M 8 / W 10",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326,variation,,"Chuck Taylor All Star High Top - Natural Ivory, M 3 / W 5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,id:2309,,,,,,11,"Màu sắc","Natural Ivory",,1,"Kích cỡ","M 3 / W 5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2327,variation,,"Chuck Taylor All Star High Top - Natural Ivory, M 3.5 / W 5.5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,id:2309,,,,,,12,"Màu sắc","Natural Ivory",,1,"Kích cỡ","M 3.5 / W 5.5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,variation,,"Chuck Taylor All Star High Top - Natural Ivory, M 4 / W 6",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,id:2309,,,,,,13,"Màu sắc","Natural Ivory",,1,"Kích cỡ","M 4 / W 6",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,variation,,"Chuck Taylor All Star High Top - Natural Ivory, M 4.5 / W 6.5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,id:2309,,,,,,14,"Màu sắc","Natural Ivory",,1,"Kích cỡ","M 4.5 / W 6.5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330,variation,,"Chuck Taylor All Star High Top - Natural Ivory, M 5 / W 7",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,id:2309,,,,,,15,"Màu sắc","Natural Ivory",,1,"Kích cỡ","M 5 / W 7",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,variation,,"Chuck Taylor All Star High Top - Natural Ivory, M 5.5 / W 7.5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,id:2309,,,,,,16,"Màu sắc","Natural Ivory",,1,"Kích cỡ","M 5.5 / W 7.5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2332,variation,,"Chuck Taylor All Star High Top - Natural Ivory, M 6 / W 8",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,id:2309,,,,,,17,"Màu sắc","Natural Ivory",,1,"Kích cỡ","M 6 / W 8",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2333,variation,,"Chuck Taylor All Star High Top - Natural Ivory, M 7 / W 9",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,id:2309,,,,,,18,"Màu sắc","Natural Ivory",,1,"Kích cỡ","M 7 / W 9",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2334,variation,,"Chuck Taylor All Star High Top - Natural Ivory, M 7.5 / W 9.5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,id:2309,,,,,,19,"Màu sắc","Natural Ivory",,1,"Kích cỡ","M 7.5 / W 9.5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335,variation,,"Chuck Taylor All Star High Top - Natural Ivory, M 8 / W 10",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,75.00,,,,,,,id:2309,,,,,,20,"Màu sắc","Natural Ivory",,1,"Kích cỡ","M 8 / W 10",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,variable,,"Chuck Taylor All Star High Top",1,0,visible,,"Converse Chuck Taylor All Star là đôi giày đã khởi đầu cho Converse. Khi nói đến giày sneaker, không có gì thuần khiết hơn một mặt trên bằng vải canvas và đế cao su vulcanized. Đây là đôi giày đã tạo ra vô số bản nhái, với đầu giày bằng cao su, bảo vệ đầu ngón chân và dải kẻ, cùng với miếng dán với dấu sao nổi bật.\n\n<span style=""font-size: 14pt;"">TẠI SAO BẠN NÊN SỞ HỮU ĐÔI GIÀY NÀ</span>Y\n<ul>\n 	<li>Mặt trên bằng vải canvas cho cảm giác nhẹ nhàng và linh hoạt</li>\n 	<li>Đế cao su cho độ bám và độ bền cao</li>\n 	<li>Điểm nhấn bên trong giày tăng khả năng thông gió</li>\n</ul>\nNGUỒN GỐC CHUCK TAYLOR ALL STAR\n\nĐược tạo ra vào năm 1917 như một đôi giày bóng rổ không trơn trượt, All Star ban đầuđược quảng cáo vì hiệu suất tuyệt vời trên sân bóng rổ bởi nhà tư duy bóng rổ Chuck Taylor. Nhưng qua nhiều thập kỷ, một điều đáng kinh ngạc đã xảy ra: đôi giày sneaker này, với hình dáng cổ điển và miếng dán mắt cá chân đặc trưng, đã được những người phiêu lưu, nghệ sĩ, nhạc sĩ, những người mơ mộng, những nhà tư duy và những người độc đáo tự nhiên sử dụng.",,,taxable,,1,,,0,0,,,,,1,,,,Women,,,"http://converse.azdigi.shop/wp-content/uploads/2023/05/1u646_a_107x1_2nd.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/1u646_e_107x1_2nd.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/1u646_f_107x1_2nd.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/1u646_g_107x1_2nd.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m3310c_c.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/m3310c_d.jpg",,,,,,,,,0,"Màu sắc","Black Monochrome, White Monochrome",1,1,"Loại giày","High Tops",0,1,"Màu chủ đạo","Black, White",0,1,Giá,"Từ CA$50.00 - CA$100.00",0,1,"Kích cỡ","M 10 / W 12, M 10.5 / W 12.5, M 11 / W 13, M 11.5 / W 13.5, M 12 / W 14, M 13 / W 15, M 15 / W 17, M 16 / W 18, M 17 / W 19, M 8 / W 10, M 8.5 / W 10.5, M 9 / W 11, M 9.5 / W 11.5",1,1,,59,60,2,,image,"http://converse.azdigi.shop/wp-content/uploads/2023/05/m3310c_a_1.jpg, http://converse.azdigi.shop/wp-content/uploads/2023/05/1u646_a_107x1_2nd.jpg",label,,color,"#000000, #f0f0f1",radio,,label,", , , , , , , , , , , , "
2474,variation,,"Chuck Taylor All Star High Top - Black Monochrome",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,70.00,,,,,,,id:2337,,,,,,1,"Màu sắc","Black Monochrome",,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475,variation,,"Chuck Taylor All Star High Top - White Monochrome",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,70.00,,,,,,,id:2337,,,,,,2,"Màu sắc","White Monochrome",,1,"Kích cỡ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
